country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
UNITED KINGDOM,65+,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,11,0,Yes,Higher Cost
UNITED KINGDOM,18-24,Alone,0,1,Volunteering,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,8,0,Yes,High Cost
UNITED KINGDOM,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,Normal Cost
UNITED KINGDOM,25-44,With Children,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,0,Yes,Low Cost
NIGERIA,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,20,3,Yes,Normal Cost
NORWAY,25-44,With Other Friends/Relatives,3,4,Meetings and Conference,Widlife Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,5,0,Yes,High Cost
ITALY,65+,With Other Friends/Relatives,2,5,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,12,4,Yes,High Cost
SOUTH AFRICA,25-44,With Spouse and Children,2,2,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,No,Yes,No,No,No,2,12,Yes,Higher Cost
GERMANY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,No,No,No,4,10,Yes,Higher Cost
CANADA,25-44,With Children,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,No,Low Cost
ZAMBIA,25-44,Alone,0,1,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Normal Cost
KENYA,45-64,With Other Friends/Relatives,1,8,Meetings and Conference,Conference Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,0,3,No,Normal Cost
SWIZERLAND,45-64,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,14,0,Yes,Higher Cost
KOREA,25-44,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,5,4,Yes,High Cost
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,10,0,Yes,High Cost
INDIA,45-64,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
DRC,25-44,Alone,1,0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
DENMARK,18-24,Alone,1,0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,3,5,Yes,Low Cost
SOUTH AFRICA,45-64,With Spouse and Children,1,3,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,No,Lower Cost
KENYA,25-44,With Children,49,44,Leisure and Holidays,Wildlife Tourism,Others,Independent,No,No,No,No,No,No,No,4,0,Yes,Higher Cost
CYPRUS,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,8,0,Yes,Normal Cost
KENYA,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
UNITED KINGDOM,45-64,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,100,0,No,Normal Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,1,3,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,0,Yes,High Cost
AUSTRIA,45-64,With Other Friends/Relatives,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Yes,High Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,0,Yes,High Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Normal Cost
AUSTRALIA,25-44,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,9,0,Yes,Higher Cost
FRANCE,45-64,With Spouse and Children,4,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,11,Yes,Higher Cost
SPAIN,25-44,Alone,0,1,Business,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
ZIMBABWE,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
UNITED STATES OF AMERICA,65+,With Children,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,0,Yes,Higher Cost
UNITED STATES OF AMERICA,25-44,With Spouse,2,0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,6,Yes,High Cost
UNITED STATES OF AMERICA,18-24,With Other Friends/Relatives,0,2,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Yes,Normal Cost
GERMANY,45-64,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,5,Yes,Higher Cost
ITALY,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,6,0,No,High Cost
SOUTH AFRICA,45-64,Alone,0,1,Business,Widlife Tourism,Others,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,4,0,No,High Cost
FRANCE,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,13,0,Yes,High Cost
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,No,Lower Cost
ZIMBABWE,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
KUWAIT,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Normal Cost
ZAMBIA,25-44,With Other Friends/Relatives,2,1,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
RWANDA,18-24,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,No,Normal Cost
ZAMBIA,25-44,Alone,0,1,Business,Beach Tourism,Others,Independent,No,No,No,No,No,No,No,8,0,No,Lower Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
BELGIUM,45-64,With Children,0,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,7,0,Yes,High Cost
ZAMBIA,25-44,Alone,0,1,Business,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
GERMANY,65+,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0,No,Normal Cost
BRAZIL,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,Yes,High Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,1,2,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,42,0,No,High Cost
GERMANY,45-64,With Spouse and Children,1,3,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Normal Cost
CHILE,18-24,With Other Friends/Relatives,5,7,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,11,4,Yes,High Cost
ITALY,45-64,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,No,Yes,No,Yes,No,Yes,No,12,0,Yes,Normal Cost
GREECE,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,Others,Package Tour,No,No,No,No,No,No,No,0,4,No,Higher Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Meetings and Conference,Wildlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,No,High Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,0,7,Yes,Higher Cost
BULGARIA,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Yes,Lower Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,6,Yes,Normal Cost
UNITED KINGDOM,18-24,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,14,4,Yes,Normal Cost
UNITED ARAB EMIRATES,25-44,Alone,0,1,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,16,0,No,Normal Cost
FRANCE,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,No,No,10,0,Yes,Normal Cost
UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,2,5,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,Higher Cost
ISRAEL,45-64,With Other Friends/Relatives,3,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,8,0,Yes,High Cost
GERMANY,45-64,Alone,1,0,Meetings and Conference,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
KENYA,25-44,Alone,1,0,Visiting Friends and Relatives,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Lower Cost
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,0,Yes,High Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,3,Yes,Higher Cost
SOUTH AFRICA,45-64,Alone,0,1,Meetings and Conference,Conference Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,6,0,No,Normal Cost
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,9,0,No,Normal Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
CANADA,65+,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,0,4,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Business,Conference Tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,20,0,No,Higher Cost
UNITED STATES OF AMERICA,45-64,With Spouse and Children,3,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,0,Yes,Higher Cost
