age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_people,country_new,cost_category
45~64,Alone,0,1,Business,business,others,Independent,No,No,No,No,No,No,No,20,0,Cash,Yes,1,UNITED KINGDOM,2
45~64,Blank,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,10,7,Credit Card,No,1,SWEDEN,2
25~44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,1,Cash,No,1,UAE,2
1~24,Alone,1,0,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,2,Cash,Yes,1,SWIZERLAND,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,1,6,Cash,No,2,SPAIN,3
45~64,Children,2,3,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,6,Cash,No,5,UNITED KINGDOM,4
25~44,Blank,0,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,3,Cash,No,1,UNITED STATES OF AMERICA,2
45~64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,4,2,Cash,Yes,2,SPAIN,3
25~44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,FRANCE,1
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,4,Cash,Yes,2,UNITED KINGDOM,2
25~44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,2,SOUTH AFRICA,1
45~64,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,120,0,Cash,No,1,UNITED KINGDOM,2
1~24,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,50,0,Cash,Yes,4,UNITED STATES OF AMERICA,2
25~44,Blank,1,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,No,No,No,No,7,6,Cash,Yes,2,ITALY,3
25~44,Blank,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,Cash,Yes,1,NETHERLANDS,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,7,Cash,Yes,1,SOUTH AFRICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,15,7,Cash,Yes,2,SPAIN,3
25~44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,0,Cash,No,2,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,6,2,Cash,Yes,2,SPAIN,2
65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,14,0,Cash,No,4,DENMARK,4
45~64,Friends/Relatives,1,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Cash,Yes,2,ZAMBIA,1
25~44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,12,6,Cash,Yes,1,SPAIN,2
45~64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,12,3,Credit Card,No,4,UNITED KINGDOM,2
25~44,Alone,0,1,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,2,Cash,Yes,1,GERMANY,2
25~44,Spouse,1,1,Meetings and Conference,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,12,0,Cash,Yes,2,UNITED STATES OF AMERICA,2
45~64,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,12,0,Credit Card,Yes,1,IRELAND,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,13,Cash,Yes,2,SWEDEN,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,No,Yes,No,Yes,No,4,3,Cash,Yes,1,AUSTRIA,2
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,15,6,Cash,Yes,2,SWIZERLAND,4
25~44,Blank,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,0,Cash,No,1,CONGO,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,11,3,Credit Card,Yes,2,SOUTH AFRICA,2
65+,Blank,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,No,No,No,3,0,Cash,No,1,UNITED KINGDOM,3
65+,Alone,0,1,Scientific and Academic,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,Cash,No,1,KENYA,2
25~44,Friends/Relatives,5,5,Meetings and Conference,Beach tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,No,No,No,No,10,0,Cash,No,10,KENYA,2
1~24,Alone,1,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,3,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,SWEDEN,1
65+,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,2,Cash,Yes,2,NEW ZEALAND,2
45~64,Spouse and Children,1,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,3,FRANCE,3
25~44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,2,AUSTRALIA,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Credit Card,Yes,2,BELGIUM,2
25~44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,0,Cash,No,1,CANADA,1
1~24,Friends/Relatives,3,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,No,No,No,No,13,10,Cash,Yes,4,BELGIUM,3
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,7,21,Cash,Yes,1,UNITED STATES OF AMERICA,1
25~44,Friends/Relatives,3,0,Other,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,Yes,3,KENYA,1
1~24,Alone,0,1,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,7,0,Cash,No,1,UNITED KINGDOM,2
25~44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,2,Cash,Yes,1,AUSTRALIA,2
25~44,Friends/Relatives,0,3,Scientific and Academic,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,7,Cash,Yes,3,SOUTH AFRICA,2
45~64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,10,4,Cash,No,4,NETHERLANDS,4
25~44,Friends/Relatives,0,2,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,2,Credit Card,Yes,2,INDIA,2
45~64,Friends/Relatives,1,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,7,Cash,Yes,4,UNITED KINGDOM,4
45~64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,14,Cash,Yes,4,FRANCE,2
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,inflight magazines,Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,O-AF,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Yes,Yes,Yes,13,5,Cash,Yes,2,SPAIN,4
45~64,Blank,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,No,1,RWANDA,2
25~44,Friends/Relatives,2,4,Volunteering,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,43,0,Cash,No,6,UNITED KINGDOM,3
45~64,Blank,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,Cash,No,1,UNITED KINGDOM,2
25~44,Friends/Relatives,0,2,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,1,0,Cash,Yes,2,SOUTH AFRICA,2
25~44,Friends/Relatives,5,2,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,0,5,Credit Card,Yes,7,SPAIN,3
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,0,Cash,Yes,2,ITALY,3
45~64,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,1,DRC,1
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,11,Credit Card,No,1,AUSTRIA,2
25~44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,6,0,Cash,Yes,1,SPAIN,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,4,Credit Card,Yes,2,ITALY,4
1~24,Spouse and Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,7,7,Cash,Yes,3,FRANCE,3
25~44,Blank,1,0,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,6,0,Cash,Yes,1,ZAMBIA,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,3,Credit Card,No,2,UNITED STATES OF AMERICA,2
45~64,Alone,1,0,Meetings and Conference,Cultural tourism,others,Independent,No,No,No,No,No,No,No,9,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
45~64,Alone,0,1,Business,Bird watching,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Credit Card,Yes,1,SOUTH AFRICA,1
45~64,Spouse and Children,1,3,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Package Tour,Yes,No,Yes,Yes,No,No,No,10,0,Cash,Yes,4,GERMANY,3
65+,Blank,0,1,Business,Diving and Sport Fishing,"Friends, relatives",Independent,Yes,No,No,No,No,No,No,4,0,Credit Card,No,1,SOUTH AFRICA,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,4,1,Cash,Yes,1,UAE,2
25~44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,0,Credit Card,No,1,SOUTH AFRICA,2
65+,Blank,0,1,Visiting Friends and Relatives,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,SOUTH AFRICA,2
45~64,Friends/Relatives,2,6,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,0,Cash,No,8,INDIA,2
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,No,No,No,2,0,Cash,No,1,MALAWI,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,6,Credit Card,Yes,2,GERMANY,2
25~44,Blank,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,KENYA,1
45~64,Spouse and Children,4,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,3,Cash,Yes,5,SPAIN,3
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,4,Cash,Yes,2,FRANCE,3
45~64,Spouse and Children,3,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,2,Cash,Yes,5,NETHERLANDS,4
1~24,Blank,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,Cash,Yes,1,AUSTRALIA,2
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Cash,Yes,2,GERMANY,1
45~64,Alone,0,1,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,EGYPT,2
45~64,Blank,0,1,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Cash,No,1,UNITED STATES OF AMERICA,1
25~44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,2,Cash,Yes,1,SWEDEN,2
65+,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,66,6,Credit Card,Yes,2,UNITED STATES OF AMERICA,2
25~44,Blank,0,1,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,31,0,Cash,No,1,INDIA,2
25~44,Blank,1,0,Business,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,2,0,Cash,No,1,KOREA,2
1~24,Friends/Relatives,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,Cash,No,2,UNITED KINGDOM,2
25~44,Blank,0,1,Meetings and Conference,Bird watching,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,KENYA,1
25~44,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,0,Cash,Yes,1,FRANCE,2
45~64,Blank,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,1,Cash,Yes,1,SWEDEN,2
25~44,Blank,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,Cash,Yes,1,UGANDA,2
25~44,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,10,5,Cash,Yes,3,SPAIN,2
45~64,Blank,0,1,Business,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,0,Cash,No,1,SOUTH AFRICA,2
25~44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Blank,1,0,Visiting Friends and Relatives,Hunting tourism,inflight magazines,Independent,No,No,No,No,No,No,No,15,0,Cash,No,1,DENMARK,2
25~44,Friends/Relatives,3,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,3,Cash,Yes,3,UNITED STATES OF AMERICA,2
45~64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,7,Cash,Yes,4,SPAIN,4
25~44,Blank,0,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,12,3,Cash,Yes,1,O-AF,3
45~64,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,No,1,KENYA,2
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,3,Cash,No,2,UNITED STATES OF AMERICA,3
25~44,Spouse and Children,1,1,Leisure and Holidays,Hunting tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Cash,No,2,KENYA,1
25~44,Alone,0,1,Business,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,36,0,Cash,No,1,O-NAME,3
65+,Spouse,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,2,UNITED STATES OF AMERICA,1
25~44,Alone,1,0,Meetings and Conference,Mountain climbing,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Blank,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,21,0,Cash,Yes,1,UGANDA,1
25~44,Blank,1,0,Scientific and Academic,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,21,0,Cash,Yes,1,ZAMBIA,1
25~44,Friends/Relatives,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,3,Cash,Yes,2,SOUTH AFRICA,2
45~64,Friends/Relatives,1,2,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,7,Cash,No,3,DENMARK,3
45~64,Alone,0,1,Meetings and Conference,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,10,0,Credit Card,Yes,1,SOUTH AFRICA,1
25~44,Blank,1,0,Meetings and Conference,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,UNITED STATES OF AMERICA,1
25~44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,0,Credit Card,Yes,1,SOUTH AFRICA,2
45~64,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,19,0,Credit Card,No,1,SOUTH AFRICA,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,5,Cash,Yes,1,O-HIC,2
25~44,Blank,0,1,Leisure and Holidays,Conference tourism,others,Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,JAPAN,1
45~64,Blank,1,0,Meetings and Conference,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,3,0,Cash,No,1,NETHERLANDS,1
25~44,Friends/Relatives,0,2,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,2,GREECE,2
1~24,Friends/Relatives,0,3,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Credit Card,Yes,3,UAE,2
25~44,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,10,0,Credit Card,No,2,CANADA,2
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,2,0,Cash,Yes,1,SOUTH AFRICA,2
45~64,Blank,1,0,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,SWIZERLAND,1
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,UAE,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,35,Cash,Yes,2,SPAIN,1
25~44,Alone,0,1,Business,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,0,Credit Card,Yes,1,SWIZERLAND,2
25~44,Blank,1,0,Volunteering,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,17,0,Cash,Yes,1,AUSTRALIA,2
45~64,Spouse and Children,2,2,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,1,6,Cash,Yes,4,ZIMBABWE,2
1~24,Alone,1,0,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,3,3,Cash,Yes,1,CANADA,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,20,10,Cash,Yes,2,GERMANY,4
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,9,3,Cash,Yes,2,NEW ZEALAND,4
25~44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Credit Card,Yes,2,INDIA,2
45~64,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Cash,No,1,INDIA,2
45~64,Alone,0,1,Meetings and Conference,Mountain climbing,Trade fair,Independent,No,No,No,No,No,No,No,6,0,Cash,No,1,SOUTH AFRICA,1
1~24,Alone,1,0,Scientific and Academic,Conference tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,61,3,Cash,Yes,1,UNITED STATES OF AMERICA,3
25~44,Blank,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,Cash,Yes,1,UNITED KINGDOM,2
1~24,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,1,INDIA,2
25~44,Alone,0,1,Business,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,0,Cash,No,1,SOUTH AFRICA,2
1~24,Children,2,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Cash,No,2,UNITED KINGDOM,2
