age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_people,country_new,cost_category
25~44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,0,Other,No,1,CHINA,2
25~44,Alone,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Credit Card,No,1,MALAWI,2
45~64,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,Cash,No,2,UNITED KINGDOM,2
1~24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,34,4,Cash,Yes,1,CHINA,2
45~64,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,0,5,Cash,Yes,2,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,4,Cash,Yes,2,NETHERLANDS,2
25~44,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,3,Cash,Yes,3,FRANCE,4
25~44,Blank,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,30,Cash,No,1,UNITED KINGDOM,2
25~44,Spouse and Children,2,1,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,5,Cash,No,3,UGANDA,2
25~44,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,7,Cash,Yes,1,IRELAND,1
25~44,Blank,1,0,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,2
65+,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,56,0,Cash,Yes,2,FRANCE,2
45~64,Children,0,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,2,GERMANY,2
45~64,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,11,3,Cash,Yes,1,SPAIN,2
25~44,Children,1,1,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,5,0,Cash,Yes,2,UGANDA,1
25~44,Friends/Relatives,1,1,Scientific and Academic,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Cash,Yes,2,JAPAN,1
25~44,Spouse and Children,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Yes,Yes,Yes,7,7,Cash,Yes,5,FRANCE,3
25~44,Friends/Relatives,0,2,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,No,No,No,Yes,No,9,2,Cash,Yes,2,AUSTRALIA,3
1~24,Friends/Relatives,2,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,22,0,Cash,Yes,4,GERMANY,2
25~44,Friends/Relatives,2,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,3,0,Credit Card,No,4,UNITED KINGDOM,3
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,10,0,Cash,No,1,SOUTH AFRICA,1
45~64,Spouse and Children,1,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Cash,No,3,O-NAME,1
45~64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,6,0,Cash,Yes,2,UNITED STATES OF AMERICA,2
1~24,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,45,0,Cash,Yes,1,UNITED KINGDOM,1
45~64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,2,ITALY,2
25~44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Cash,No,2,SOUTH AFRICA,1
25~44,Blank,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,GERMANY,1
25~44,Blank,0,1,Visiting Friends and Relatives,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,60,2,Cash,No,1,UGANDA,2
1~24,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,1,Cash,No,1,NEW ZEALAND,2
45~64,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,AUSTRALIA,1
25~44,Spouse and Children,2,2,Other,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,90,0,Cash,No,4,NETHERLANDS,1
45~64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Credit Card,Yes,2,BELGIUM,2
65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,0,Cash,No,4,DENMARK,3
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,9,5,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Blank,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Cash,No,1,UNITED KINGDOM,2
1~24,Friends/Relatives,4,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,11,6,Cash,Yes,4,NORWAY,2
45~64,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,0,Credit Card,No,1,NETHERLANDS,2
1~24,Blank,1,0,Volunteering,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,70,0,Cash,Yes,1,UNITED KINGDOM,1
25~44,Blank,0,1,Scientific and Academic,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,21,0,Cash,Yes,1,ZIMBABWE,2
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,Trade fair,Independent,No,No,No,No,No,No,No,4,1,Credit Card,No,1,KENYA,2
45~64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,No,No,No,3,2,Credit Card,No,1,NORWAY,3
25~44,Blank,0,1,Visiting Friends and Relatives,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,0,Credit Card,No,1,KENYA,2
65+,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,42,0,Cash,No,1,NETHERLANDS,3
25~44,Spouse,0,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,6,0,Cash,No,1,UNITED KINGDOM,2
25~44,Friends/Relatives,1,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,7,Cash,Yes,2,NORWAY,2
45~64,Friends/Relatives,2,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,9,Cash,Yes,3,GERMANY,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,7,Cash,Yes,2,UNITED KINGDOM,4
25~44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,1,Cash,No,1,UNITED STATES OF AMERICA,1
1~24,Friends/Relatives,0,2,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,4,Cash,Yes,2,NORWAY,2
1~24,Blank,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,3,Cash,Yes,1,CHINA,2
25~44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,No,1,INDIA,2
45~64,Spouse and Children,1,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,10,Cash,No,4,UNITED STATES OF AMERICA,2
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,3,Cash,Yes,1,NETHERLANDS,2
1~24,Alone,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,35,0,Cash,Yes,1,UNITED KINGDOM,2
45~64,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,3
25~44,Children,1,2,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,15,Cash,No,3,ITALY,2
25~44,Blank,0,1,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,6,0,Credit Card,No,1,INDIA,2
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,No,No,No,14,0,Cash,No,1,UNITED KINGDOM,2
45~64,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,4,4,Cash,Yes,3,FRANCE,3
45~64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,12,0,Cash,Yes,4,FRANCE,4
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,KENYA,1
45~64,Children,3,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Cash,No,4,CANADA,2
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,3,Credit Card,Yes,2,AUSTRALIA,4
25~44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,13,0,Cash,Yes,1,JAPAN,2
25~44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Credit Card,No,1,NORWAY,2
1~24,Alone,1,0,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,No,No,No,50,5,Cash,Yes,1,NETHERLANDS,3
45~64,Spouse and Children,4,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,10,5,Cash,Yes,5,NETHERLANDS,4
1~24,Friends/Relatives,2,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,No,2,UNITED KINGDOM,2
25~44,Alone,1,0,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Cash,Yes,1,NETHERLANDS,1
1~24,Alone,1,0,Volunteering,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,14,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,11,1,Credit Card,Yes,2,SWIZERLAND,4
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,No,Yes,Yes,Yes,No,10,5,Cash,Yes,2,NETHERLANDS,3
1~24,Friends/Relatives,2,0,Scientific and Academic,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,No,Yes,14,0,Cash,Yes,2,UNITED KINGDOM,2
45~64,Spouse and Children,2,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,Cash,Yes,3,UNITED STATES OF AMERICA,3
25~44,Friends/Relatives,2,0,Business,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,No,No,No,5,0,Credit Card,Yes,2,NETHERLANDS,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,2,Cash,No,1,O-EEU,2
65+,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,20,6,Cash,Yes,2,NETHERLANDS,2
45~64,Blank,0,1,Meetings and Conference,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,Yes,1,JAPAN,2
25~44,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,Yes,1,PAKISTAN,1
25~44,Blank,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,17,0,Cash,Yes,1,GREECE,2
25~44,Spouse,0,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,Yes,No,5,4,Credit Card,No,0,UNITED STATES OF AMERICA,2
45~64,Blank,0,1,Meetings and Conference,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,SOUTH AFRICA,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,Trade fair,Independent,No,No,No,No,No,No,No,13,5,Cash,Yes,2,GERMANY,3
45~64,Blank,1,0,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,6,0,Cash,No,1,UNITED KINGDOM,2
25~44,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,50,0,Cash,Yes,1,PAKISTAN,1
25~44,Blank,1,0,Volunteering,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,36,5,Cash,Yes,1,UNITED KINGDOM,2
45~64,Blank,0,1,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,4,0,Cash,No,1,UNITED KINGDOM,2
1~24,Alone,0,1,Volunteering,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,3,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Blank,1,0,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,Cash,No,1,GERMANY,2
45~64,Alone,0,1,Other,Mountain climbing,others,Independent,No,No,No,No,No,No,No,5,0,Cash,No,1,RWANDA,1
1~24,Friends/Relatives,3,0,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,Yes,9,14,Cash,Yes,3,BELGIUM,3
1~24,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,2,Cash,Yes,2,SWIZERLAND,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,6,6,Credit Card,Yes,2,ITALY,2
25~44,Friends/Relatives,2,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,2,Cash,No,3,CHINA,2
25~44,Alone,0,1,Business,Mountain climbing,others,Independent,No,No,No,No,No,No,No,12,0,Cash,No,1,SOUTH AFRICA,2
25~44,Blank,0,1,Business,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,3,0,Credit Card,No,1,UAE,2
25~44,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,6,Cash,No,1,FRANCE,2
45~64,Spouse and Children,3,2,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,No,Yes,Yes,No,Yes,Yes,No,7,2,Credit Card,Yes,5,FRANCE,4
25~44,Friends/Relatives,1,1,Business,Hunting tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,Cash,No,2,SOUTH AFRICA,2
45~64,Spouse and Children,2,2,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,1,13,Credit Card,No,4,UNITED KINGDOM,3
45~64,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Credit Card,Yes,1,SOUTH AFRICA,1
25~44,Alone,0,1,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,CONGO,1
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,No,No,No,3,3,Cash,Yes,2,NEW ZEALAND,1
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,14,9,Cash,Yes,2,UNITED KINGDOM,2
25~44,Alone,0,1,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,10,0,Cash,Yes,1,SOUTH AFRICA,2
25~44,Blank,0,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,3,Cash,Yes,1,UNITED STATES OF AMERICA,2
65+,Friends/Relatives,2,5,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,12,4,Cash,Yes,7,ITALY,3
45~64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,2
25~44,Spouse and Children,3,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,16,0,Cash,No,4,UNITED KINGDOM,3
25~44,Blank,1,0,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,6,Cash,No,1,INDIA,2
45~64,Friends/Relatives,5,5,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,2,Cash,Yes,10,UNITED STATES OF AMERICA,2
25~44,Blank,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,3,Cash,Yes,1,UNITED KINGDOM,1
45~64,Children,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,5,Credit Card,Yes,2,BRAZIL,4
25~44,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Credit Card,No,1,SOUTH AFRICA,1
1~24,Blank,1,0,Volunteering,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,Cash,Yes,1,UNITED KINGDOM,1
25~44,Friends/Relatives,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,No,20,0,Cash,Yes,4,SPAIN,3
45~64,Spouse,1,1,Leisure and Holidays,business,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,12,Cash,Yes,2,ITALY,4
25~44,Friends/Relatives,0,3,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,19,0,Cash,No,3,OMAN,2
25~44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,5,Credit Card,No,2,SWIZERLAND,3
25~44,Friends/Relatives,1,5,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,3,Cash,Yes,6,GERMANY,3
25~44,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Cash,No,1,KENYA,1
1~24,Friends/Relatives,12,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,16,2,Cash,Yes,13,SWIZERLAND,4
45~64,Alone,0,1,Business,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,0,Cash,No,1,INDIA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,6,Credit Card,Yes,2,PORTUGAL,2
25~44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,4,Cash,Yes,2,GERMANY,2
25~44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Alone,0,1,Business,Mountain climbing,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,4,0,Cash,No,1,ITALY,2
25~44,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,12,3,Cash,No,1,UNITED STATES OF AMERICA,3
45~64,Spouse and Children,2,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,0,Cash,Yes,6,UNITED KINGDOM,1
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,13,0,Cash,Yes,2,FRANCE,2
45~64,Blank,0,1,Other,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,5,0,Credit Card,No,1,ITALY,2
45~64,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,7,Cash,Yes,3,FRANCE,4
1~24,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Cash,No,1,BELGIUM,1
25~44,Spouse,1,1,Volunteering,Hunting tourism,others,Independent,No,No,No,No,No,No,No,19,6,Cash,No,2,UNITED STATES OF AMERICA,2
65+,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,KENYA,1
45~64,Spouse and Children,2,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Cash,No,3,CANADA,1
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,7,0,Cash,Yes,2,FRANCE,3
25~44,Alone,1,0,Meetings and Conference,Mountain climbing,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,1
45~64,Alone,1,0,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Credit Card,No,1,ITALY,2
